idSinonimo,sinonimo,idCarta
189,cthulu,18
190,caco,18
191,carterista,18
192,ratero,18
193,cleptómano,18
194,descuidero,18
195,chorizo,18
196,mangante,18
197,saqueador,18
198,timador,18
199,bandido,18
200,atracador,18
201,maleante,18
202,cuatrero,18
203,usurero,18
204,estafador,18
205,carero,18
206,chaca,18
207,chacal,18
208,caquito,18
209,cthulu,19
210,papá,19
211,progenitor,19
212,padrazo,19
213,ascendiente,19
214,procreador,19
215,autor,19
216,creador,19
217,inventor,19
218,generador,19
219,productor,19
220,fraile,19
221,religioso,19
222,sacerdote,19
223,clérigo,19
224,tonsurado,19
225,perro,19
226,chido,19
227,cthulu,20
228,ave,20
229,avecilla,20
230,volátil,20
231,pajarillo,20
232,astuto,20
233,ladino,20
234,taimado,20
235,zorro,20
236,cuco,20
237,pillo,20
238,cthulu,21
239,garra,21
240,zarpa,21
241,palma,21
242,dorso,21
243,lado,21
244,costado,21
245,flanco,21
246,banda,21
247,ala,21
248,dirección,21
249,orientación,21
250,sentido,21
251,baño,21
252,capa,21
253,pintura,21
254,pasada,21
255,revestimento,21
256,recubrimiento,21
257,pericicia,21
258,habilidad,21
259,facilidad,21
260,destreza,21
261,maña,21
262,tacto,21
263,turno,21
264,jugada,21
265,tirada,21
266,lance,21
267,partido,21
268,partida,21
269,poder,21
270,mando,21
271,influencia,21
272,influjo,21
273,ascendiente,21
274,privanza,21
275,amistad,21
276,ayuda,21
277,auxilio,21
278,asistencia,21
279,tunda,21
280,somanta,21
281,castigo,21
282,reprensión,21
283,cthulu,22
284,borceguí,22
285,boto,22
286,escarpín,22
287,botín,22
288,odre,22
289,pellejo,22
290,saltar,22
291,brincar,22
292,rebotar,22
293,respingar,22
294,piruetar,22
295,alzarse,22
296,lanzar,22
297,impulsar,22
298,echar,22
299,arrojar,22
300,despedir,22
301,tirar,22
302,expulsar,22
303,cthulu,23
304,satélite,23
305,astro,23
306,espejo,23
307,cristalera,23
308,vidriera,23
309,escaparate,23
310,cthulu,24
311,cacatúa,24
312,papagayo,24
313,loro,24
314,guacamayo,24
315,perico,24
316,cotorra,24
317,charlatán,24
318,parlanchín,24
319,gárrulo,24
320,hablador,24
321,sacamuelas,24
322,cthulu,25
323,ebrio,25
324,embriagado,25
325,bebido,25
326,beodo,25
327,alcoholizado,25
328,mamado,25
329,achispado,25
330,amonado,25
331,ajumado,25
332,ahumado,25
333,calamocano,25
334,dipsómano,25
335,alumbrado,25
336,curda,25
337,mona,25
338,colgado,25
339,pedo,25
340,cthulu,26
341,lírico,26
342,trovador,26
343,versificador,26
344,coplista,26
345,juglar,26
346,rapsoda,26
347,rimador,26
348,aedo,26
349,bardo,26
350,vate,26
351,cthulu,27
352,vícera,27
353,órgano,27
354,entrañas,27
355,entretelas,27
356,amor,27
357,sentimiento,27
358,cariño,27
359,sensibilidad,27
360,caridad,27
361,cariño,27
362,centro,27
363,núcleo,27
364,interior,27
365,meollo,27
366,médula,27
367,cthulu,28
368,puro,28
369,habano,28
370,veguero,28
371,tagarnina,28
372,cigarrillo,28
373,pitillo,28
374,tabaco,28
375,cthulu,29
376,tamboril,29
377,caja,29
378,timbal,29
379,bombo,29
380,pandero,29
381,rodillo,29
382,rollo,29
383,cilindro,29
384,cthulu,30
385,mamá,30
386,religiosa,30
387,hermana,30
388,sor,30
389,superiora,30
390,lecho,30
391,cauce,30
392,acequia,30
393,álveo,30
394,origen,30
395,motivo,30
396,causa,30
397,fundamento,30
398,poso,30
399,sedimento,30
400,cthulu,31
401,partícula,31
402,corpúsculo,31
403,insignificancia,31
404,pequeñez,31
405,migaja,31
406,pizca,31
407,brizna,31
408,traza,31
409,cthulu,32
410,melodía,32
411,armonía,32
412,canto,32
413,ritmo,32
414,tonalidad,32
415,polifonía,32
416,filarmonía,32
417,solfeo,32
418,cthulu,33
419,can,33
420,chucho,33
421,tuso,33
422,cachorro,33
423,mephistófeles,33
424,difícil,33
425,chido,33
426,arduo,33
427,complejo,33
428,duro,33
429,complicado,33
430,cthulu,34
431,ordenador,34
432,calduladora,34
433,procesador,34
434,cerebro electrónico,34
435,cthulu,35
436,ejemplar,35
437,tomo,35
438,volumen,35
439,obra,35
440,texto,35
441,manual,35
442,compendio,35
443,vademécum,35
444,cthulu,36
445,invidente,36
446,cegado,36
447,obturado,36
448,obstruido,36
449,taponado,36
450,ofuscado,36
451,obcecado,36
452,alucinado,36
453,deslumbrado,36
454,empecinado,36
455,empeñado,36
456,lleno,36
457,harto,36
458,ahíto,36
459,atiborrado,36
460,cthulu,37
461,tierra,37
462,globo,37
463,humanidad,37
464,planeta,37
465,orbe,37
466,siglo,37
467,universo,37
468,cosmos,37
469,creación,37
470,sociedad,37
471,experiencia,37
472,cthulu,38
473,terreno,38
474,terruño,38
475,campiña,38
476,labrantío,38
477,pradera,38
478,pradería,38
479,prado,38
480,sembrado,38
481,dehesa,38
482,huerta,38
483,predio,38
484,hacienda,38
485,finca,38
486,propiedad,38
487,cthulu,39
488,circunferencia,39
489,aro,39
490,redondel,39
491,órbita,39
492,disco,39
493,redondez,39
494,rueda,39
495,cerco,39
496,corro,39
497,contorno,39
498,perímetro,39
499,circuito,39
500,ateneo,39
501,casino,39
502,sociedad,39
503,club,39
504,curvado,39
505,curvo,39
506,radial,39
507,lenticular,39
508,cthulu,40
509,nave,40
510,navío,40
511,bajel,40
512,nao,40
513,buque,40
514,embarcación,40
515,velero,40
516,yate,40
517,paquebote,40
518,cthulu,41
519,flor,41
520,capullo,41
521,cotón,41
522,rosado,41
523,sonrosado,41
524,encarnado,41
525,cthulu,42
526,cráneo,42
527,sesera,42
528,cabeza,42
529,casco,42
530,rima,42
531,epitafio,42
532,cthulu,43
533,receptor,43
534,reproductor,43
535,auricular,43
536,aparato,43
537,celular,43
538,móvil,43
539,cthulu,44
540,medíco,44
541,matasanos,44
542,cirujano,44
543,graduado,44
544,catedrático,44
545,cirujano,44
546,cthulu,45
547,micho,45
548,minino,45
549,micifuz,45
550,morrongo,45
551,morroño,45
552,elevador,45
553,palanca,45
554,cric,45
555,sagaz,45
556,astuto,45
557,traicionero,45
558,pícaro,45
559,naco,45
560,cthulu,46
561,astro,46
562,día,46
563,estrella,46
564,luz,46
565,cthulu,47
566,diadema,47
567,tiara,47
568,guirnalda,47
569,blasón,47
570,laureola,47
571,nimbo,47
572,halo,47
573,aureola,47
574,aro,47
575,cerco,47
576,premio,47
577,galardón,47
578,recompensa,47
579,reino,47
580,monarquía,47
581,imperio,47
582,cima,47
583,cúspide,47
584,investir,47
585,ceñir,47
586,aureolar,47
587,entronizar,47
588,proclamar,47
589,terminar,47
590,acabar,47
591,culminar,47
592,rematar,47
593,consumar,47
594,finalizar,47
595,alcanzar,47
596,cthulu,48
597,canoa,48
598,lancha,48
599,bote,48
600,góndola,48
601,trajinera,48
602,cthulu,49
603,bebé,49
604,nene,49
605,rorro,49
606,crío,49
607,criatura,49
608,peque,49
609,chico,49
610,churumbel,49
611,hijo,49
612,mocoso,49
613,rapaz,49
614,chiquillo,49
615,infante,49
616,morro,49
617,chamaco,49
618,chavo,49
619,cthulu,50
620,pescado,50
621,brea,50
622,resina,50
623,capturado,50
624,atrapado,50
625,cazado,50
626,agarrado,50
627,cogido,50
628,pillado,50
629,apresado,50
630,sorprendido,50
631,descubierto,50
632,cthulu,51
633,urbe,51
634,capital,51
635,metrópoli,51
636,villa,51
637,población,51
638,localidad,51
639,cthulu,52
640,danzarina,52
641,danzadora,52
642,saltarina,52
643,almea,52
644,bayadera,52
645,chaconera,52
646,danzante,52
647,zarabandista,52
648,cthulu,53
649,ósculo,53
650,besuqueo,53
651,carantoña,53
652,mimo,53
653,caricia,53
654,contacto,53
655,cthulu,54
656,sapo,54
657,sapillo,54
658,renacuajo,54
659,batracio,54
