idDiminutivo,diminutivo,idCarta
176,tamboruco,29
177,madrecita,30
178,madrecilla,30
179,madrecica,30
180,madreceta,30
181,madrina,30
182,madresuca,30
183,atomito,31
184,atomillo,31
185,atomico,31
186,atomete,31
187,atomín,31
188,atomuco,31
189,musiquita,32
190,musiquilla,32
191,musiquica,32
192,musiqueta,32
193,musiquina,32
194,musicuca,32
195,perrito,33
196,perrillo,33
197,perrico,33
198,perrete,33
199,perrín,33
200,perruco,33
201,computadorcita,34
202,computadorcilla,34
203,computadorcica,34
204,computadorceta,34
205,computadorcina,34
206,computadoruca,34
207,librito,35
208,librillo,35
209,librico,35
210,librete,35
211,librín,35
212,lubruco,35
213,cieguito,36
214,cieguillo,36
215,cieguico,36
216,cieguete,36
217,cieguín,36
218,cierguco,36
219,mundito,37
220,mundillo,37
221,mundico,37
222,mundete,37
223,mundín,37
224,munduco,37
225,campito,38
226,campillo,38
227,campico,38
228,campete,38
229,campín,38
230,campuco,38
231,circulito,39
232,circulillo,39
233,circulico,39
234,circulete,39
235,circulín,39
236,circoluco,39
237,barquito,40
238,barquillo,40
239,barquico,40
240,barquecete,40
241,barquecín,40
242,barcuco,40
243,rosita,41
244,rosilla,41
245,rosica,41
246,roseta,41
247,rosina,41
248,rosuca,41
249,calaverita,42
250,calaverilla,42
251,calaverica,42
252,calavereta,42
253,calaverín,42
254,calaveruca,42
255,telefonito,43
256,telefonillo,43
257,telefonico,43
258,telefonete,43
259,telefonín,43
260,telefonuco,43
261,doctorcito,44
262,doctorcillo,44
263,doctorico,44
264,doctorete,44
265,doctorín,44
266,doctoruco,44
267,gatito,45
268,gatillo,45
269,gatico,45
270,gatete,45
271,gatín,45
272,gatuco,45
273,solecito,46
274,solecillo,46
275,solecico,46
276,solecete,46
277,solecín,46
278,solesuco,46
279,coronita,47
280,coronilla,47
281,coronica,47
282,coroneta,47
283,coronina,47
284,coronuca,47
285,chalupita,48
286,chalupilla,48
287,chalupica,48
288,chalupeta,48
289,chalupina,48
290,chalupuca,48
291,niñito,49
292,niñillo,49
293,niñico,49
294,niñete,49
295,niñín,49
296,niñuco,49
297,pececito,50
298,pececillo,50
299,pececio,50
300,pececete,50
301,pececín,50
302,pecesuco,50
303,ciudadcita,51
304,ciudadcilla,51
305,ciudadica,51
306,ciudadeta,51
307,ciudadina,51
308,ciudaduca,51
309,bailarinita,52
310,bailarincilla,52
311,bailarinica,52
312,bailarineta,52
313,bailarinina,52
314,bailariruca,52
315,besito,53
316,besillo,53
317,besico,53
318,besete,53
319,besín,53
320,besuco,53
321,ranita,54
322,ranilla,54
323,ranica,54
324,raneta,54
325,ranina,54
326,ranuca,54
